CITY,COUNTYNAME,Combined_Key,index,Confirmed,Deaths,Recovered,FIPS,Lat,Long_,log_conf,ZIP
Marion,Crittenden County,Arkansas US,669.0,11.5,0.0,0.0,5035.0,35.21247318,-90.30839406,1.1120941204943582,72364.0
Marion,Dillon County,South Carolina US,785.0,1.0,0.0,0.0,45033.0,34.39007791,-79.37741872,0.0,29571.0
Marion,Flathead County,Montana US,932.0,6.0,0.0,0.0,30029.0,48.29575866,-114.0520569,0.6055193684736281,59925.0
Marion,Franklin County,Pennsylvania US,974.0,6.0,0.0,0.0,42055.0,39.92956518,-77.72157791,0.6013748820987164,17235.0
Marion,Grant County,Indiana US,1081.0,5.0,0.0,0.0,18053.0,40.51587228,-85.65468702,0.4885590669614942,46952.5
Marion,Guadalupe County,Texas US,1141.0,8.5,0.0,0.0,48187.0,29.58165339,-97.94786822,0.8630751457130843,78124.0
Marion,Hartford County,Connecticut US,1223.0,208.5,2.0,0.0,9003.0,41.80283011,-72.73103891,5.371067544279379,6444.0
Marion,Huntington County,Indiana US,1325.0,1.0,0.0,0.0,18069.0,40.82907273,-85.48822092,0.0,46952.0
Marion,Hutchinson County,South Dakota US,1328.0,1.0,0.0,0.0,46067.0,43.33449012,-97.75536441,0.04530952914472827,57043.0
Marion,Lauderdale County,Mississippi US,1600.0,11.0,0.0,0.0,28075.0,32.40419769,-88.66229662,1.0823160809104522,39342.0
Marion,Lincoln County,Montana US,1674.0,2.0,0.5,0.0,30053.0,48.54265777,-115.4046155,0.1138223458526325,59925.0
Marion,Linn County,Iowa US,1687.0,29.0,0.0,0.0,19113.0,42.07923082,-91.59809485,2.1120880639401953,52302.0
Marion,Marion County,Ohio US,1802.0,5.0,0.0,0.0,39101.0,40.58610662,-83.15736305,0.4885590669614942,43302.0
Marion,Marion County,South Carolina US,1804.0,1.0,0.0,0.0,45067.0,34.07859748,-79.36400756,0.0,29571.0
Marion,McCook County,South Dakota US,1847.0,2.0,0.0,0.0,46087.0,43.6742571,-97.36863144,0.09061905828945654,57043.0
Marion,McDowell County,North Carolina US,1855.0,3.5,0.0,0.0,37111.0,35.67736232,-82.0482425,0.28958906262547535,28752.0
Marion,Missaukee County,Michigan US,1938.0,1.0,0.5,0.0,26113.0,44.33772443,-85.09256478,0.0,49665.0
Marion,Osceola County,Michigan US,2161.0,0.5,0.0,0.0,26133.0,43.98992088,-85.32566756,0.0,49665.0
Marion,Plymouth County,Massachusetts US,2295.0,229.5,0.0,0.0,25023.0,41.94070556,-70.80802823,5.544195016840311,2738.0
Marion,Union County,Ohio US,2889.5,3.0,0.0,0.0,39159.0,40.30016061,-83.37239023,0.227644691705265,43302.0
Marion,Union Parish,Louisiana US,2884.5,5.5,0.0,0.0,22111.0,32.83121059,-92.3749373,0.5383334651968823,71260.0
Marion,Wabash County,Indiana US,2930.5,1.0,0.0,0.0,18169.0,40.84704239,-85.79328272,0.0,46952.0
Marion,Waupaca County,Wisconsin US,3014.0,1.0,0.5,0.0,55135.0,44.47068056,-88.96534501,0.0,54950.0
Marion,Wayne County,New York US,3024.5,11.5,0.0,0.0,36117.0,43.15494365,-77.02976528,1.124565443260981,14505.0
Marion,Wells County,Indiana US,3044.5,1.0,0.0,0.0,18179.0,40.72934187,-85.22132966,0.0,46952.0
Marion,Williamson County,Illinois US,3091.5,1.0,0.0,0.0,17199.0,37.73033511,-88.92994027,0.0,62959.0
Marion center,Indiana County,Pennsylvania US,1339.0,2.0,0.0,0.0,42063.0,40.65241041,-79.08963285,0.09061905828945654,15759.0
Marion heights,Northumberland County,Pennsylvania US,2097.0,0.5,0.0,0.0,42097.0,40.84785433,-76.70798222,0.0,17832.0
Marion junction,Dallas County,Alabama US,708.0,2.0,0.0,0.0,1047.0,32.32688101,-87.10866709999998,0.09061905828945654,36759.0
Marion station,Somerset County,Maryland US,2638.0,1.0,0.0,0.0,24039.0,38.1163542,-75.75118623,0.0,21838.0
Marionville,Christian County,Missouri US,507.0,5.0,0.0,0.0,29043.0,36.9711783,-93.18537118,0.4709176944706017,65705.0
Marionville,Northampton County,Virginia US,2096.0,1.0,0.0,0.0,51131.0,37.34062933,-75.87751591,0.0,23408.0
Marissa,St. Clair County,Illinois US,2656.0,16.5,0.0,0.0,17163.0,38.46996033,-89.93063427,1.4794498558477536,62257.0
Marissa,Washington County,Illinois US,2982.5,1.0,0.0,0.0,17189.0,38.35309213,-89.40982703,0.0,62257.0
Mark center,Defiance County,Ohio US,755.0,5.0,0.0,0.0,39039.0,41.32398837,-84.49076944,0.4885590669614942,43536.0
Marked tree,Poinsett County,Arkansas US,2298.0,3.0,0.0,0.0,5111.0,35.57433534,-90.66268713,0.227644691705265,72365.0
Markesan,Dodge County,Wisconsin US,796.0,6.0,0.0,0.0,55027.0,43.41576662,-88.70928178,0.6055193684736281,53946.0
Markesan,Fond du Lac County,Wisconsin US,944.0,19.0,1.0,0.0,55039.0,43.75354908,-88.48885325,1.6341940558428742,53946.0
Markham,Cook County,Illinois US,628.0,2426.0,24.0,0.0,17031.0,41.84144849,-87.81658794,11.449852087708617,60428.0
Markham,Fauquier County,Virginia US,912.0,5.0,0.0,0.0,51061.0,38.73564842,-77.80647472,0.48399780081572713,22643.0
Markham,Matagorda County,Texas US,1838.0,10.5,1.0,0.0,48321.0,28.81955746,-96.01230294,1.042249362350529,77456.0
Markle,Huntington County,Indiana US,1325.0,1.0,0.0,0.0,18069.0,40.82907273,-85.48822092,0.0,46770.0
Markle,Wells County,Indiana US,3044.5,1.0,0.0,0.0,18179.0,40.72934187,-85.22132966,0.0,46770.0
Markleton,Somerset County,Pennsylvania US,2640.0,2.0,0.0,0.0,42111.0,39.97172723,-79.02699593,0.09061905828945654,15551.0
Markleville,Hancock County,Indiana US,1177.0,16.0,1.0,0.0,18059.0,39.82304555,-85.77566351,1.4380402820492102,46056.0
Markleville,Henry County,Indiana US,1250.0,1.0,0.0,0.0,18065.0,39.93029017,-85.39625719,0.0,46056.0
Markleville,Madison County,Indiana US,1760.0,9.5,1.0,0.0,18095.0,40.16143691,-85.71964711,0.9394114295284214,46056.0
Markleysburg,Fayette County,Pennsylvania US,920.0,9.5,0.0,0.0,42051.0,39.92041012,-79.64291195,0.95528938341053,15459.0
Marks,Panola County,Mississippi US,2196.0,4.0,0.0,0.0,28107.0,34.36398677,-89.95064249,0.3624762331578262,38646.0
Marks,Quitman County,Mississippi US,2374.0,3.0,0.0,0.0,28119.0,34.25157572,-90.28908,0.227644691705265,38646.0
Marksville,Avoyelles Parish,Louisiana US,112.0,11.0,0.0,0.0,22009.0,31.07796211,-92.00079449,1.0823160809104522,71351.0
Marksville,Rapides Parish,Louisiana US,2394.0,31.5,1.0,0.0,22079.0,31.19778499,-92.52997303,2.2307031114172204,71351.0
Marland,Kay County,Oklahoma US,1476.0,17.5,0.0,0.0,40071.0,36.81799745,-97.14421435,1.5448568050946436,74644.0
Marland,Noble County,Oklahoma US,2085.0,3.0,0.0,0.0,40103.0,36.38953329,-97.22928674,0.227644691705265,74644.0
Marland,Pawnee County,Oklahoma US,2212.0,14.0,1.0,0.0,40117.0,36.31743373,-96.7033176,1.3136094741676563,74644.0
Marlboro,Monmouth County,New Jersey US,1952.0,707.5,3.0,0.0,34025.0,40.26549699,-74.22240686,8.109567106463807,7746.0
Marlboro,Orange County,New York US,2145.0,1005.5,2.5,0.0,36071.0,41.40337468,-74.30240757,9.004198027663456,12542.0
Marlboro,Ulster County,New York US,2853.0,115.5,0.0,0.0,36111.0,41.89027881,-74.26252104,4.237863538678158,12542.0
Marlboro,Windham County,Vermont US,3100.5,8.0,0.0,0.0,50025.0,42.986982,-72.71268875,0.8123847320284991,5344.0
Marlborough,Cheshire County,New Hampshire US,481.0,2.0,0.0,0.0,33005.0,42.92015988,-72.25311043,0.09061905828945654,3455.0
Marlborough,Hartford County,Connecticut US,1223.0,208.5,2.0,0.0,9003.0,41.80283011,-72.73103891,5.371067544279379,6447.0
Marlborough,Middlesex County,Massachusetts US,1915.0,763.5,5.0,0.0,25017.0,42.48607732,-71.39049229,8.299295924962546,1752.0
Marlborough,Tolland County,Connecticut US,2811.0,35.0,3.5,0.0,9013.0,41.85853803,-72.3308481,2.38257061648508,6447.0
Marlette,Lapeer County,Michigan US,1591.0,4.0,0.0,0.0,26087.0,43.09052506,-83.22153148,0.3624762331578262,48453.0
Marlette,Sanilac County,Michigan US,2526.0,2.0,0.0,0.0,26151.0,43.42406072,-82.82055898,0.09061905828945654,48453.0
Marlette,Tuscola County,Michigan US,2845.0,3.0,1.0,0.0,26157.0,43.46606813,-83.41897025,0.22654764572364136,48453.0
