date,index,Confirmed,Deaths,Recovered,FIPS,Lat,Long_,log_conf,new_Confirmed,new_Recovered,new_Deaths,p_new_Confirmed,p_new_Recovered,p_new_Deaths
02-24-2020,589,77152.0,2593.0,24990.0,0,0.0,0.0,201.92995400718144,214.0,1820.0,150.0,0.002773745333886354,0.07282913165266107,0.057848052448900886
02-25-2020,604,77660.0,2663.0,27650.0,0,0.0,0.0,202.00635030304718,508.0,2660.0,70.0,0.006541334020087561,0.09620253164556962,0.026286143447239955
02-26-2020,623,78065.0,2715.0,30053.0,0,0.0,0.0,202.05455027240433,405.0,2403.0,52.0,0.0051879843719976945,0.07995873956011047,0.019152854511970532
02-27-2020,637,78498.0,2744.0,32898.0,0,0.0,0.0,202.23989358486892,433.0,2845.0,29.0,0.005516064103544039,0.08647942124141285,0.010568513119533527
02-28-2020,653,78824.0,2788.0,36291.0,0,0.0,0.0,202.2920741862478,326.0,3393.0,44.0,0.004135796204201766,0.09349425477391089,0.015781922525107604
02-29-2020,673,79251.0,2835.0,39279.0,0,0.0,0.0,202.35125871504513,427.0,2988.0,47.0,0.0053879446316134815,0.07607118307492554,0.016578483245149912
03-01-2020,698,79826.0,2870.0,42118.0,0,1035.615,3457.8300000000004,202.41964026126692,575.0,2839.0,35.0,0.00720316688798136,0.06740585972743245,0.012195121951219513
03-02-2020,722,80026.0,2912.0,44810.0,0,1035.615,3457.8300000000004,202.46368823436464,200.0,2692.0,42.0,0.0024991877639767074,0.06007587592055345,0.014423076923076924
03-03-2020,740,80151.0,2945.0,47404.0,0,1035.615,3457.8300000000004,202.53694244413728,125.0,2594.0,33.0,0.0015595563374131327,0.054721120580541724,0.011205432937181663
03-04-2020,769,80271.0,2981.0,49955.0,0,1035.615,3457.8300000000004,202.5878125683501,120.0,2551.0,36.0,0.0014949359046230893,0.05106595936342708,0.012076484401207649
03-05-2020,806,80422.0,3013.0,52240.0,0,1035.615,3457.8300000000004,202.8149532220469,151.0,2285.0,32.0,0.0018775956827733705,0.043740428790199085,0.010620643876535016
03-06-2020,860,80573.0,3042.0,53888.0,0,1035.615,3457.8300000000004,203.13929105939647,151.0,1648.0,29.0,0.0018740769240316235,0.030581947743467935,0.00953320184089415
03-07-2020,918,80652.0,3070.0,55478.0,0,1035.615,3457.8300000000004,203.18051052792845,79.0,1590.0,28.0,0.0009795169369637455,0.028660009373084827,0.009120521172638436
03-08-2020,968,80699.0,3097.0,57320.0,0,1035.615,3457.8300000000004,203.25317318544884,47.0,1842.0,27.0,0.0005824111822947001,0.03213538032100489,0.00871811430416532
03-09-2020,996,80735.0,3120.0,58735.0,0,1035.615,3457.8300000000004,203.25540358298542,36.0,1415.0,23.0,0.0004459032637641667,0.024091257342300162,0.007371794871794872
03-10-2020,1059,80757.0,3136.0,60106.0,0,1035.615,3457.8300000000004,203.29126006176884,22.0,1371.0,16.0,0.00027242220488626375,0.0228097028582837,0.00510204081632653
03-11-2020,1716,80921.0,3161.0,61644.0,0,1157.4405999999997,3902.7689000000005,208.7839496003236,164.0,1538.0,25.0,0.0020266679848247055,0.024949711245214456,0.007908889591901298
03-12-2020,1777,80932.0,3172.0,62901.0,0,1157.4405999999997,3902.7689000000005,208.82747739653962,11.0,1257.0,11.0,0.00013591657193693472,0.019983784041589164,0.0034678436317780582
03-13-2020,528,80945.0,3180.0,64196.0,0,1080.0817,3685.5800000000004,208.91581489949496,13.0,1295.0,8.0,0.0001606028784977454,0.020172596423453176,0.0025157232704402514
03-14-2020,1638,80977.0,3193.0,65660.0,0,1080.0817,3685.5800000000004,209.10180378722777,32.0,1464.0,13.0,0.0003951739382787705,0.022296679865976242,0.004071406201064829
03-15-2020,1695,81003.0,3203.0,67017.0,0,1080.0817,3685.5800000000004,209.266720542242,26.0,1357.0,10.0,0.0003209757663296421,0.020248593640419595,0.0031220730565095223
03-16-2020,1896,81033.0,3217.0,67910.0,0,1080.0817,3685.5800000000004,209.56578485372117,30.0,893.0,14.0,0.0003702195401873311,0.013149757031365042,0.004351880634131178
03-17-2020,2047,81058.0,3230.0,68798.0,0,1080.0817,3685.5800000000004,209.81479572366203,25.0,888.0,13.0,0.00030842113054849613,0.012907351957905754,0.004024767801857585
03-18-2020,2200,81102.0,3241.0,69755.0,0,1080.0817,3685.5800000000004,210.33128058297615,44.0,957.0,11.0,0.0005425266947794136,0.013719446634649846,0.003394014193150262
03-19-2020,2434,81156.0,3249.0,70535.0,0,1080.0817,3685.5800000000004,210.85486287476564,54.0,780.0,8.0,0.000665385184089901,0.01105833983128943,0.0024622960911049553
03-20-2020,2638,81250.0,3253.0,71266.0,0,1080.0817,3685.580000000001,211.48348422382415,94.0,731.0,4.0,0.0011569230769230769,0.010257345718856116,0.0012296341838303104
03-21-2020,2897,81305.0,3259.0,71857.0,0,1080.0817,3685.580000000001,211.8573507454944,55.0,591.0,6.0,0.0006764651620441547,0.00822466843870465,0.001841055538508745
