MODZCTA,Positive,Total,zcta_cum.perc_pos,ZIP,LAT,LNG,zip,lat,lng,city,state_id,state_name,zcta,parent_zcta,population,density,county_fips,county_name,county_weights,county_names_all,county_fips_all,imprecise,military,timezone,Positive_Percentage_of_Population
11205,513,1040,49.33,11205,40.694696,-73.966286,11205,40.69468,-73.96613,Brooklyn,NY,New York,True,,46064,16493.8,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.1136679402570338
11206,1056,1936,54.55,11206,40.701954,-73.942358,11206,40.70189,-73.94237,Brooklyn,NY,New York,True,,88349,21984.4,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.195259708655446
11207,1373,2523,54.42,11207,40.670747,-73.894209,11207,40.6707,-73.8941,Brooklyn,NY,New York,True,,91972,13494.3,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.492845648675684
11208,1550,2646,58.58,11208,40.669769,-73.871372,11208,40.66853,-73.87089,Brooklyn,NY,New York,True,,98660,10195.4,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.5710520981147373
11209,829,1823,45.47,11209,40.621982,-74.030324,11209,40.62212,-74.03016,Brooklyn,NY,New York,True,,67809,12527.1,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.2225515786989927
11210,1266,2238,56.57,11210,40.628147,-73.946324,11210,40.62807,-73.94637,Brooklyn,NY,New York,True,,67040,14583.6,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.8884248210023866
11211,1475,2594,56.86,11211,40.712596999999995,-73.953098,11211,40.71244,-73.95299,Brooklyn,NY,New York,True,,102624,15047.6,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.4372856251948862
11212,1190,2080,57.21,11212,40.662936,-73.91302900000001,11212,40.662929999999996,-73.91303,Brooklyn,NY,New York,True,,76527,21202.2,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.5550067296509729
11213,1040,1874,55.5,11213,40.671078,-73.936336,11213,40.67111,-73.9363,Brooklyn,NY,New York,True,,66295,22579.4,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.5687457575986121
11214,1103,2048,53.86,11214,40.599148,-73.99609,11214,40.59879,-73.99635,Brooklyn,NY,New York,True,,92946,15777.5,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.1867105631226733
11215,468,1169,40.03,11215,40.662688,-73.98674,11215,40.6626,-73.98678000000001,Brooklyn,NY,New York,True,,70156,11270.5,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,0.6670847824847482
11216,522,1066,48.97,11216,40.680768,-73.94931600000001,11216,40.68075,-73.94937,Brooklyn,NY,New York,True,,56308,22433.5,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,0.9270441145130355
11217,421,853,49.36,11217,40.682306,-73.978099,11217,40.682590000000005,-73.97928,Brooklyn,NY,New York,True,,41407,18472.1,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.0167363006254981
11218,1244,2194,56.7,11218,40.643468,-73.976046,11218,40.64346,-73.97610999999999,Brooklyn,NY,New York,True,,74508,20331.4,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.6696193697321096
11219,2087,3498,59.66,11219,40.632667,-73.996669,11219,40.632670000000005,-73.99669,Brooklyn,NY,New York,True,,90036,24025.2,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,2.3179617042072063
11220,1077,1870,57.59,11220,40.641221,-74.016862,11220,40.64115,-74.01626999999999,Brooklyn,NY,New York,True,,95643,22037.0,36047,Kings,{'36047':100},Kings,36047,False,False,America/New_York,1.1260625450895516
